ID,Form_ID,Cognateset_ID
1-1,1,15-a
2-1,2,15-b
3-1,3,15-c
4-1,4,15-d
13-1,13,15-d
7-1,7,15-d
7-1,7,15-d
8-1,8,15-d
13-1,13,15-d
13-1,13,15-d
13-1,13,15-d
13-1,13,15-d
13-1,13,15-d
14-1,14,15-d
15-1,15,15-d
18-1,18,15-d
17-1,17,15-d
18-1,18,15-d
19-1,19,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3101-1,3101,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3135-1,3135,15-e
3135-1,3135,15-e
29-1,29,15-e
3130-1,3130,15-e
3114-1,3114,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3097-1,3097,15-e
3130-1,3130,15-e
3130-1,3130,15-e
37-1,37,15-e
3125-1,3125,15-e
3135-1,3135,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3130-1,3130,15-e
3134-1,3134,15-e
3134-1,3134,15-e
3134-1,3134,15-e
3134-1,3134,15-e
3135-1,3135,15-e
3136-1,3136,15-e
3136-1,3136,15-e
50-1,50,15-f
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
3094-1,3094,15-g
59-1,59,15-h
60-1,60,NA
61-1,61,NA
62-1,62,NA
63-1,63,NA
64-1,64,NA
65-1,65,60-a
105-1,105,60-a
67-1,67,60-a
78-1,78,60-a
107-1,107,60-a
76-1,76,60-a
74-1,74,60-a
74-1,74,60-a
78-1,78,60-a
74-1,74,60-a
75-1,75,60-a
76-1,76,60-a
107-1,107,60-a
78-1,78,60-a
88-1,88,60-a
88-1,88,60-a
88-1,88,60-a
107-1,107,60-a
83-1,83,60-a
84-1,84,60-a
107-1,107,60-a
107-1,107,60-a
107-1,107,60-a
88-1,88,60-a
89-1,89,60-a
107-1,107,60-a
91-1,91,60-a
92-1,92,60-a
107-1,107,60-a
94-1,94,60-a
107-1,107,60-a
105-1,105,60-a
105-1,105,60-a
107-1,107,60-a
105-1,105,60-a
100-1,100,60-a
114-1,114,60-a
102-1,102,60-a
107-1,107,60-a
105-1,105,60-a
105-1,105,60-a
107-1,107,60-a
